name,surname,job,URI
STEFANO,CAVAZZONI,2,http://dati.camera.it/ocd/persona.rdf/pr1716
ERNESTO,ROSSI,0,http://dati.camera.it/ocd/persona.rdf/pr12197
PIETRO,NENNI,0,http://dati.camera.it/ocd/persona.rdf/p19410
GIORGIO,AMENDOLA,0,http://dati.camera.it/ocd/persona.rdf/p200
GIUSEPPE,ROMITA,0,http://dati.camera.it/ocd/persona.rdf/p26830
ANTONIO,SEGNI,0,http://dati.camera.it/ocd/persona.rdf/p26930
BENEDETTO,CROCE,2,http://dati.camera.it/ocd/persona.rdf/p27710
LUIGI,GASPAROTTO,0,http://dati.camera.it/ocd/persona.rdf/p27920
ALCIDE,DE GASPERI,0,http://dati.camera.it/ocd/persona.rdf/p13230
PALMIRO,TOGLIATTI,0,http://dati.camera.it/ocd/persona.rdf/p14140
EMILIO,LUSSU,0,http://dati.camera.it/ocd/persona.rdf/p28070
FERRUCCIO,PARRI,0,http://dati.camera.it/ocd/persona.rdf/p28300
MAURO,SCOCCIMARRO,0,http://dati.camera.it/ocd/persona.rdf/p28480
RAFFAELE,DE COURTEN,0,http://dati.camera.it/ocd/persona.rdf/p300662
GINO,SARROCCHI,2,http://dati.camera.it/ocd/persona.rdf/pr3986
GIOVANNI,GRONCHI,0,http://dati.camera.it/ocd/persona.rdf/p18950
PIETRO,BADOGLIO,2,http://dati.camera.it/ocd/persona.rdf/pr9083
ETTORE,CONTI,2,http://dati.camera.it/ocd/persona.rdf/pr9398
GIORGIO ENRICO,FALCK,2,http://dati.camera.it/ocd/persona.rdf/pr9608
GUGLIELMO,MARCONI,2,http://dati.camera.it/ocd/persona.rdf/pr9888
FAUSTO,GULLO,0,http://dati.camera.it/ocd/persona.rdf/p11230
PASQUALE,SCHIANO,0,http://dati.camera.it/ocd/persona.rdf/p10290
MARIO,CEVOLOTTO,0,http://dati.camera.it/ocd/persona.rdf/p13590
LUIGI,CHATRIAN,0,http://dati.camera.it/ocd/persona.rdf/p13110
ANGELO,CORSI,0,http://dati.camera.it/ocd/persona.rdf/p13130
CELESTE CARLO,NEGARVILLE,0,http://dati.camera.it/ocd/persona.rdf/p13250
POMPEO,COLAJANNI,0,http://dati.camera.it/ocd/persona.rdf/p1760
GENNARO,CASSIANI,0,http://dati.camera.it/ocd/persona.rdf/p18290
MARIO,SCELBA,0,http://dati.camera.it/ocd/persona.rdf/p19990
BRUNO,VISENTINI,0,http://dati.camera.it/ocd/persona.rdf/p200977
GIUSEPPE,SPATARO,0,http://dati.camera.it/ocd/persona.rdf/p20060
ANTONIO,CIFALDI,0,http://dati.camera.it/ocd/persona.rdf/p25590
SALVATORE,ALDISIO,0,http://dati.camera.it/ocd/persona.rdf/p25290
ACHILLE,MARAZZA,0,http://dati.camera.it/ocd/persona.rdf/p26300
STEFANO,JACINI,0,http://dati.camera.it/ocd/persona.rdf/p28020
ALBERTO,CIANCA,0,http://dati.camera.it/ocd/persona.rdf/p27590
BARTOLOMEO,RUINI,0,http://dati.camera.it/ocd/persona.rdf/p28460
DANTE,VERONI,0,http://dati.camera.it/ocd/persona.rdf/p28650
PIETRO,MASTINO,0,http://dati.camera.it/ocd/persona.rdf/p28150
ENRICO,MOLE',0,http://dati.camera.it/ocd/persona.rdf/p28180
ROSARIO,PASQUALINO VASSALLO,0,http://dati.camera.it/ocd/persona.rdf/p28310
GIOVANNI,PERSICO,0,http://dati.camera.it/ocd/persona.rdf/p28340
ANTONIO,PRIOLO,0,http://dati.camera.it/ocd/persona.rdf/p28380
GAETANO,BARBARESCHI,0,http://dati.camera.it/ocd/persona.rdf/p27200
FEDERICO,RICCI,0,http://dati.camera.it/ocd/persona.rdf/p300798
LEONE,CATTANI,0,http://dati.camera.it/ocd/persona.rdf/p300657
MARIO,BRACCI,0,http://dati.camera.it/ocd/persona.rdf/p300659
ERNESTO,PELLEGRINO,0,http://dati.camera.it/ocd/persona.rdf/p300663
MARIO,FANO,0,http://dati.camera.it/ocd/persona.rdf/p300664
ENRICO,PARESCE,0,http://dati.camera.it/ocd/persona.rdf/p300666
ENRICO,BERARDINONE,0,http://dati.camera.it/ocd/persona.rdf/p300667
GIUSTINO,ARPESANI,0,http://dati.camera.it/ocd/persona.rdf/p300669
PIETRO,PINNA PARPAGLIA,0,http://dati.camera.it/ocd/persona.rdf/p300649
ALFREDO,FRASSATI,2,http://dati.camera.it/ocd/persona.rdf/p303313
UGO,LA MALFA,0,http://dati.camera.it/ocd/persona.rdf/p3250
RICCARDO,LOMBARDI,0,http://dati.camera.it/ocd/persona.rdf/p3460
MARIO,NOMIS DI COSSILLA,2,http://dati.camera.it/ocd/persona.rdf/pr10033
ENEA,NOSEDA,2,http://dati.camera.it/ocd/persona.rdf/pr10035
NOVELLO,NOVELLI,2,http://dati.camera.it/ocd/persona.rdf/pr10038
ACHILLE,NUCCI,2,http://dati.camera.it/ocd/persona.rdf/pr10039
GIUSEPPE,OVIO,2,http://dati.camera.it/ocd/persona.rdf/pr10057
IVAN MATTEO,LOMBARDO,0,http://dati.camera.it/ocd/persona.rdf/p8930
EUGENIO,REALE,0,http://dati.camera.it/ocd/persona.rdf/p9990
EPICARMO,CORBINO,0,http://dati.camera.it/ocd/persona.rdf/p7580
ETTORE,PORRO,2,http://dati.camera.it/ocd/persona.rdf/pr10171
ALESSANDRO,POSS,2,http://dati.camera.it/ocd/persona.rdf/pr10173
GIOVANNI ATTILIO,POZZO,2,http://dati.camera.it/ocd/persona.rdf/pr10175
ANTONIO,PESENTI,2,http://dati.camera.it/ocd/persona.rdf/pr10123
SILVIO,PETRONE,2,http://dati.camera.it/ocd/persona.rdf/pr10132
PIER RUGGERO,PICCIO,2,http://dati.camera.it/ocd/persona.rdf/pr10139
GASPARE DOMENICO,REGIS,2,http://dati.camera.it/ocd/persona.rdf/pr10209
ROBERTO,PUCCI,2,http://dati.camera.it/ocd/persona.rdf/pr10187
PIERO,PURICELLI,2,http://dati.camera.it/ocd/persona.rdf/pr10193
MARIO,RACHELI,2,http://dati.camera.it/ocd/persona.rdf/pr10202
GIOVANNI,PEREZ,2,http://dati.camera.it/ocd/persona.rdf/pr10110
ANGELO,TUA,2,http://dati.camera.it/ocd/persona.rdf/pr10427
FRANCESCO,TULLIO,2,http://dati.camera.it/ocd/persona.rdf/pr10428
CARLO,TORLONIA,2,http://dati.camera.it/ocd/persona.rdf/pr10405
GIUSEPPE,ROTA,2,http://dati.camera.it/ocd/persona.rdf/pr10243
FULCO,RUFFO DI CALABRIA,2,http://dati.camera.it/ocd/persona.rdf/pr10248
GIUSEPPE MARIA,SALVAGO RAGGI,2,http://dati.camera.it/ocd/persona.rdf/pr10265
GIUNIO,SALVI,2,http://dati.camera.it/ocd/persona.rdf/pr10268
LUDOVICO,SPADA VERALLI POTENZIANI ALEMANNI,2,http://dati.camera.it/ocd/persona.rdf/pr10347
LUIGI,SPEZZOTTI,2,http://dati.camera.it/ocd/persona.rdf/pr10350
GAETANO SILVIO,SPILLER,2,http://dati.camera.it/ocd/persona.rdf/pr10351
FRANCESCO,VALAGUSSA,2,http://dati.camera.it/ocd/persona.rdf/pr10437
UMBERTO,ZAMBONI,2,http://dati.camera.it/ocd/persona.rdf/pr10483
GUIDO,VIALE,2,http://dati.camera.it/ocd/persona.rdf/pr10459
PAOLO,VINASSA DE REGNY,2,http://dati.camera.it/ocd/persona.rdf/pr10471
LUIGI,SANSONE,0,http://dati.camera.it/ocd/persona.rdf/pr11172
CARLO,ARDIZZONE,0,http://dati.camera.it/ocd/persona.rdf/pr12017
GIUSEPPE,BRUNO,0,http://dati.camera.it/ocd/persona.rdf/pr12022
MARIO,FERRARA,0,http://dati.camera.it/ocd/persona.rdf/pr12070
CARLO LUDOVICO,RAGGHIANTI,0,http://dati.camera.it/ocd/persona.rdf/pr12184
VINCENZO,ARANGIO RUIZ,0,http://dati.camera.it/ocd/persona.rdf/pr11971
LEOPOLDO,PARODI DELFINO,2,http://dati.camera.it/ocd/persona.rdf/pr11822
ENZO,STORONI,0,http://dati.camera.it/ocd/persona.rdf/pr12230
ALFREDO,BOUVIER,2,http://dati.camera.it/ocd/persona.rdf/pr1292
MANLIO GIOVANNI,BROSIO,0,http://dati.camera.it/ocd/persona.rdf/pr12274
GIUSEPPE,DE CAPITANI D'ARZAGO,2,http://dati.camera.it/ocd/persona.rdf/pr1934
GIROLAMO,GATTI,2,http://dati.camera.it/ocd/persona.rdf/pr2501
LUIGI,DENTICE DI FRASSO,2,http://dati.camera.it/ocd/persona.rdf/pr2197
ARTURO,MARESCALCHI,2,http://dati.camera.it/ocd/persona.rdf/pr2851
GESUALDO,LIBERTINI PLUCHINOTTA,2,http://dati.camera.it/ocd/persona.rdf/pr2747
GIOVANNI,INDRI,2,http://dati.camera.it/ocd/persona.rdf/pr2820
LUIGI,MONTRESOR,2,http://dati.camera.it/ocd/persona.rdf/pr3077
ALDO,ROSSINI,2,http://dati.camera.it/ocd/persona.rdf/pr3903
FRANCESCO,ROTA,2,http://dati.camera.it/ocd/persona.rdf/pr3906
GIOVANNI,ROMEO DELLE TORRAZZE,2,http://dati.camera.it/ocd/persona.rdf/pr3871
MARCELLO,SOLERI,0,http://dati.camera.it/ocd/persona.rdf/pr4216
PIER GAETANO,VENINO,2,http://dati.camera.it/ocd/persona.rdf/pr4175
GIOVANNI FLORIANO,BANELLI,2,http://dati.camera.it/ocd/persona.rdf/pr4506
EUGENIO,BROCCARDI,2,http://dati.camera.it/ocd/persona.rdf/pr4530
MARCO ARTURO,VICINI,2,http://dati.camera.it/ocd/persona.rdf/pr4759
ANGELO,ABISSO,2,http://dati.camera.it/ocd/persona.rdf/pr7
ORAZIO,BOTTURINI,2,http://dati.camera.it/ocd/persona.rdf/pr9211
GIUSEPPE,BREZZI,2,http://dati.camera.it/ocd/persona.rdf/pr9217
ALESSANDRO,BRIZI,2,http://dati.camera.it/ocd/persona.rdf/pr9220
UMBERTO,BUCCI,2,http://dati.camera.it/ocd/persona.rdf/pr9234
PERICLE,CARDINALI,2,http://dati.camera.it/ocd/persona.rdf/pr9300
GIUSEPPE,BASTIANELLI,2,http://dati.camera.it/ocd/persona.rdf/pr9112
ANTONIO,ANDREONI,2,http://dati.camera.it/ocd/persona.rdf/pr9048
LUIGI,ARBORIO MELLA DI SANT'ELIA,2,http://dati.camera.it/ocd/persona.rdf/pr9064
MARIO,ARLOTTA,2,http://dati.camera.it/ocd/persona.rdf/pr9065
GUIDO,BISCARETTI DI RUFFIA,2,http://dati.camera.it/ocd/persona.rdf/pr9157
FELICE,BENSA,2,http://dati.camera.it/ocd/persona.rdf/pr9128
GIOVANNI,AGNELLI,2,http://dati.camera.it/ocd/persona.rdf/pr9019
GIULIO,ALESSANDRINI,2,http://dati.camera.it/ocd/persona.rdf/pr9033
GIUSEPPE,CELI,2,http://dati.camera.it/ocd/persona.rdf/pr9337
GIACOMO EMILIO,CURATULO,2,http://dati.camera.it/ocd/persona.rdf/pr9431
IGINIO,COFFARI,0,http://dati.camera.it/ocd/persona.rdf/pr9377
GAETANO MARIO,COLUMBA,2,http://dati.camera.it/ocd/persona.rdf/pr9391
CONCINO,CONCINI,2,http://dati.camera.it/ocd/persona.rdf/pr9395
CESARE,GIOVARA,2,http://dati.camera.it/ocd/persona.rdf/pr9738
FERDINANDO GIUSEPPE,GIULI ROSSELMINI GUALANDI,2,http://dati.camera.it/ocd/persona.rdf/pr9743
FRANCESCO,GIUSTI DEL GIARDINO,2,http://dati.camera.it/ocd/persona.rdf/pr9751
FRANCESCO,GOGGIA,2,http://dati.camera.it/ocd/persona.rdf/pr9755
ALFREDO,FELICI,2,http://dati.camera.it/ocd/persona.rdf/pr9626
ERCOLE,DURINI DI MONZA,2,http://dati.camera.it/ocd/persona.rdf/pr9594
VITTORIO UMBERTO,FANTUCCI,2,http://dati.camera.it/ocd/persona.rdf/pr9613
CESARE,GENOVESI,2,http://dati.camera.it/ocd/persona.rdf/pr9704
LUIGI,GIAMPIETRO,2,http://dati.camera.it/ocd/persona.rdf/pr9719
GIAN GIACOMO,GALLARATI SCOTTI,2,http://dati.camera.it/ocd/persona.rdf/pr9678
BINDO,GALLI,2,http://dati.camera.it/ocd/persona.rdf/pr9679
GIOVANNI,DE RISEIS,2,http://dati.camera.it/ocd/persona.rdf/pr9525
STEFANO,DE RUGGIERO,2,http://dati.camera.it/ocd/persona.rdf/pr9529
GIUSEPPE,MARZANO,2,http://dati.camera.it/ocd/persona.rdf/pr9906
ORESTE,MATTIROLO,2,http://dati.camera.it/ocd/persona.rdf/pr9917
ETTORE,MAMBRETTI,2,http://dati.camera.it/ocd/persona.rdf/pr9870
MAURIZIO,MARAVIGLIA,2,http://dati.camera.it/ocd/persona.rdf/pr9886
RICCARDO,MOIZO,2,http://dati.camera.it/ocd/persona.rdf/pr9972
EUGENIO,MORELLI,2,http://dati.camera.it/ocd/persona.rdf/pr9985
ANGELO,MENOZZI,2,http://dati.camera.it/ocd/persona.rdf/pr9941
GIUSEPPE,GUADAGNINI,2,http://dati.camera.it/ocd/persona.rdf/pr9778
NICOLA,GUALTIERI,2,http://dati.camera.it/ocd/persona.rdf/pr9782
RENATO,MACARINI CARMIGNANI,2,http://dati.camera.it/ocd/persona.rdf/pr9850
